구분,보통휘발유,자동차용경유
21년07월1주,690.46,697.27
21년07월2주,695.12,709.32
21년07월3주,689.38,703.49
21년07월4주,650.07,671.61
21년08월1주,689.63,697.12
21년08월2주,692.46,706.23
21년08월3주,675.76,687.95
21년08월4주,668.44,682.48
21년09월1주,636.29,660.30
21년09월2주,684.58,709.21
21년09월3주,689.98,717.02
21년09월4주,686.41,713.13
21년09월5주,684.08,715.88
21년10월1주,744.50,780.11
21년10월2주,784.93,825.18
21년10월3주,808.07,846.69
21년10월4주,802.74,833.22
21년11월1주,850.28,854.12
21년11월2주,847.25,862.43
21년11월3주,838.76,857.91
21년11월4주,821.34,836.34
21년12월1주,744.75,763.45
21년12월2주,769.19,779.22
21년12월3주,756.68,771.52
21년12월4주,750.17,769.89
21년12월5주,738.93,752.52
22년01월1주,772.83,786.17
22년01월2주,810.97,839.27
22년01월3주,828.39,864.49
22년01월4주,848.65,890.26
22년02월1주,842.18,893.86
22년02월2주,890.49,937.90
22년02월3주,912.12,963.21
22년02월4주,910.51,959.95
22년03월1주,945.78,995.58
22년03월2주,1074.14,1161.22
22년03월3주,1112.14,1237.00
22년03월4주,1087.03,1225.66
22년03월5주,1043.42,1171.06
22년04월1주,1062.67,1220.02
22년04월2주,1046.92,1227.80
22년04월3주,1046.50,1246.86
22년04월4주,1070.16,1294.78
22년05월1주,1083.35,1309.34
22년05월2주,1142.51,1369.39
22년05월3주,1199.61,1354.28
22년05월4주,1218.38,1333.80
22년06월1주,1226.25,1345.50
22년06월2주,1270.40,1433.18
22년06월3주,1309.87,1528.54
22년06월4주,1323.06,1545.80
22년06월5주,1293.27,1550.34
22년07월1주,1245.81,1464.80
22년07월2주,1146.76,1367.76
22년07월3주,1067.72,1321.71
22년07월4주,1049.49,1291.74
22년08월1주,1032.03,1267.74
22년08월2주,1003.42,1227.76
22년08월3주,985.79,1204.20
22년08월4주,990.55,1229.93
22년08월5주,998.59,1280.36
22년09월1주,981.60,1312.28
22년09월2주,957.01,1273.63
22년09월3주,925.97,1222.33
22년09월4주,892.36,1194.14
22년10월1주,896.09,1204.39
22년10월2주,929.20,1295.52
22년10월3주,921.58,1325.09
22년10월4주,901.15,1306.05
22년11월1주,902.03,1312.34
